feature,importance
hour,0.1413782125332425
lights,0.0582042271961375
T3,0.04017771498227694
RH_out,0.03782704789935509
day_of_week,0.035113503958204124
RH_6,0.0337363114948052
RH_8,0.03362962377953751
RH_1,0.03319668772296051
month,0.03230903341428996
T2,0.0321236300139685
T6,0.03198999314999784
Windspeed,0.030869226563729424
Press_mm_hg,0.030437318764305426
T8,0.030401263026771444
T9,0.030073285006062805
T4,0.029809956787165828
RH_3,0.02932209807668138
T5,0.029124053302777637
RH_2,0.029119476364823822
T7,0.029070929537621405
RH_7,0.028589015847354397
T1,0.02804799183262559
RH_9,0.0266903707204113
RH_4,0.02664935195094359
T_out,0.026163428018573052
Tdewpoint,0.025934824155681657
RH_5,0.023495410785262964
Visibility,0.01827365715090083
is_weekend,0.018242355963531628
