feature,importance
hour,0.13548245983191431
T3,0.046455324082083124
RH_1,0.043856137536954685
lights,0.041009798045503226
RH_3,0.03884966365429524
RH_8,0.03802847059037255
Press_mm_hg,0.03797993037365645
RH_2,0.03670299294694405
T8,0.03563746172003771
RH_out,0.03500243259559463
RH_7,0.03441284668989624
T2,0.0338097975505959
RH_5,0.03332450409570911
RH_9,0.03319152662156645
RH_6,0.032321560326780775
T6,0.03160579905458357
T5,0.031349758339949726
RH_4,0.030937056783733204
Tdewpoint,0.030614202774741923
T4,0.030169065278912045
T1,0.029952556106348595
T9,0.029522050437319158
T7,0.029484076137318963
T_out,0.02877315317005489
Windspeed,0.02646615798054103
day_of_week,0.015314346397967304
Visibility,0.015295621303434424
month,0.011637351963205428
is_weekend,0.0028138976099851107
